1	12.52	15.46	18.26	20.98	23.63	26.24	28.81	31.35	33.87
1	12.52	15.46	18.26	20.98	23.63	26.24	28.81	31.35	33.87
2	19.38	22.5	25.5	28.43	31.28	34.09	36.84	39.56	42.24
2	25.86	31.05	36.09	41.03	45.9	50.72	55.5	60.22	64.91
3	25.83	29.04	32.15	35.19	38.15	41.08	43.94	46.77	49.56
3	42.92	50.25	57.45	64.54	71.56	78.52	85.44	92.29	99.12
4	32.12	35.38	38.55	41.66	44.71	47.7	50.64	53.55	56.42
4	63.87	73.31	82.62	91.81	100.96	110.03	119.03	128	136.94
5	38.32	41.62	44.84	47.99	51.1	54.14	57.13	60.1	63.03
5	88.79	100.29	111.69	122.96	134.16	145.3	156.44	167.47	178.46
6	44.47	47.79	51.06	54.24	57.38	60.47	63.52	66.53	69.5
6	117.69	131.23	144.66	158.01	171.33	184.53	197.7	210.8	223.88
7	50.58	53.94	57.21	60.44	63.61	66.72	69.79	72.82	75.85
7	150.55	166.15	181.67	197.07	212.39	227.68	242.9	258.09	273.21
8	56.68	60.03	63.33	66.57	69.76	72.89	76	79.08	82.12
8	187.44	205.08	222.61	240.05	257.43	274.77	292.03	309.24	326.43
9	62.75	66.11	69.43	72.69	75.91	79.08	82.21	85.31	88.39
9	228.32	247.96	267.54	287.03	306.47	325.83	345.11	364.38	383.59
10	68.81	72.17	75.5	78.77	82	85.18	88.34	91.47	94.57
10	273.2	294.87	316.45	337.95	359.4	380.79	402.18	423.48	444.75
11	74.83	78.21	81.54	84.82	88.07	91.27	94.43	97.61	100.73
11	322.03	345.74	369.31	392.86	416.35	439.78	463.15	486.46	509.74
12	80.84	84.23	87.57	90.87	94.13	97.36	100.54	103.7	106.84
12	374.84	400.54	426.17	451.78	477.28	502.72	528.13	553.48	578.84
