1	11.64	14.59	17.39	20.11	22.76	25.37	27.94	30.48	33
1	11.64	14.59	17.39	20.11	22.76	25.37	27.94	30.48	33
2	18.55	21.67	24.68	27.6	30.46	33.26	36.01	38.73	41.41
2	23.94	29.16	34.22	39.18	44.06	48.88	53.67	58.38	63.08
3	25.03	28.24	31.35	34.38	37.35	40.28	43.14	45.95	48.75
3	39.92	47.31	54.54	61.66	68.7	75.67	82.58	89.47	96.29
4	31.34	34.6	37.77	40.87	43.92	46.9	49.85	52.76	55.63
4	59.79	69.31	78.66	87.9	97.08	106.17	115.19	124.17	133.11
5	37.55	40.85	44.06	47.21	50.32	53.35	56.35	59.32	62.24
5	83.63	95.22	106.67	118	129.23	140.42	151.55	162.61	173.62
6	43.71	47.03	50.3	53.48	56.62	59.7	62.74	65.75	68.72
6	111.45	125.1	138.59	151.99	165.35	178.59	191.77	204.91	218.01
7	49.83	53.18	56.46	59.68	62.84	65.95	69.02	72.06	75.07
7	143.29	158.97	174.54	190.02	205.39	220.69	235.96	251.16	266.3
8	55.92	59.29	62.57	65.81	69	72.13	75.24	78.32	81.35
8	179.08	196.84	214.44	231.94	249.37	266.76	284.06	301.28	318.52
9	62.01	65.36	68.67	71.93	75.15	78.33	81.45	84.55	87.62
9	218.91	238.67	258.33	277.87	297.37	316.78	336.09	355.39	374.62
10	68.07	71.43	74.75	78.02	81.24	84.42	87.58	90.71	93.82
10	262.76	284.53	306.19	327.78	349.27	370.73	392.13	413.46	434.75
11	74.1	77.48	80.8	84.08	87.32	90.52	93.69	96.86	99.97
11	310.55	334.34	358	381.62	405.17	428.64	452.06	475.41	498.75
12	80.11	83.49	86.83	90.13	93.38	96.61	99.8	102.95	106.09
12	362.35	388.15	413.85	439.51	465.09	490.59	516.06	541.43	566.8
