1	9.17	12.34	15.28	18.1	20.84	23.51	26.14	28.71	31.27
1	9.17	12.34	15.28	18.1	20.84	23.51	26.14	28.71	31.27
2	15.88	19.21	22.35	25.38	28.31	31.18	34	36.76	39.48
2	20.25	25.64	30.82	35.89	40.85	45.74	50.57	55.35	60.09
3	22.3	25.68	28.91	32.04	35.09	38.07	40.98	43.87	46.71
3	35.19	42.7	50.03	57.23	64.33	71.38	78.33	85.26	92.14
4	28.58	31.99	35.27	38.46	41.57	44.63	47.63	50.58	53.49
4	54.09	63.66	73.08	82.38	91.59	100.71	109.82	118.85	127.83
5	34.8	38.22	41.53	44.75	47.9	51.02	54.07	57.08	60.05
5	76.96	88.59	100.08	111.46	122.74	133.95	145.12	156.24	167.31
6	40.95	44.37	47.7	50.97	54.17	57.32	60.42	63.46	66.46
6	103.84	117.49	131.02	144.45	157.8	171.08	184.31	197.49	210.58
7	47.06	50.51	53.87	57.14	60.36	63.54	66.65	69.72	72.78
7	134.7	150.4	165.98	181.47	196.89	212.21	227.51	242.73	257.9
8	53.15	56.59	59.95	63.25	66.51	69.69	72.85	75.97	79.04
8	169.54	187.29	204.9	222.41	239.87	257.24	274.56	291.82	309.04
9	59.26	62.69	66.06	69.38	72.65	75.86	79.04	82.18	85.27
9	208.41	228.13	247.79	267.34	286.84	306.26	325.59	344.9	364.15
10	65.3	68.73	72.12	75.43	78.71	81.95	85.15	88.31	91.44
10	251.31	273.05	294.71	316.26	337.8	359.23	380.63	401.96	423.27
11	71.33	74.76	78.16	81.5	84.77	88.01	91.23	94.41	97.55
11	298.16	321.92	345.56	369.16	392.69	416.14	439.57	462.93	486.27
12	77.35	80.79	84.19	87.52	90.82	94.09	97.31	100.51	103.69
12	348.98	374.7	400.43	426.05	451.62	477.11	502.57	527.96	553.33
